871a	To say: O N.,
871b	thou ascendest (or, goest forth) as the morning star, and voyagest as the ḥnti (master of the heavenly ocean).
871c	Those who are in Nun fear thee;
871d	thou commandest the spirits.
872a	Isis laments for thee, Nephthys bemoans thee,
872b	the great mni.t smites evil for thee,
872c	as for Osiris in his suffering.
872d	"Nunite," "Nunite," guard thee against the great sea.
873a	Be seated on this thy firm throne,
873b	that thou mayest command those of secret places.
873c	The double doors of heaven are open for thee, the double doors of ḳbḥ.w are open for thee,
873d	that thou mayest ferry over (pull the oar) to the Marsh of Reeds,
874a	and till the barley and reap the spelt,
874b	that thy livelihood may be secured thereby, like Horus, son of Atum.
