864a	To say: O N.,
864b	take to thyself this thy pure water, which is come forth out of Elephantiné,
864c	thy water from Elephantiné, thy natron from ’Irw,
864d	thy ḥsmn (natron) from the Oxyrhynchus nome, thine incense from Nubia.
865a	Thou sittest upon thy firm throne,
865b	thy forepart being as, that of a jackal, thy hinderpart as that of a falcon;
865c	thou consumest the meat of the slaughtering-bench of Osiris and the double-rib piece of the slaughtering-bench of Set;
866a	thy bread is the bread of the god out of the broad-hall (wśḫ.t-hall).
866b	Thou strikest with the ‘bȝ-sceptre, thou directest with the ’iȝȝ.t-sceptre;
866c	thou commandest the gods;
866d	thou layest hold for thyself of the arm of the imperishable stars.
867a	Thou ascendest in the Thinite nome; thou descendest in the great valley.
867b	Stand up, raise thyself up.
